ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	regens	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
48.495	7.895	54.71	32.5	8	0	0	120	12	136	80	18	7	19	12	28	0	83	0	36.255719900131226	200	36.255719900131226	200	0.0	
50.595	7.985	57.25	33.925	16	1	0	118	11	135	79	18	7	19	12	10	0	164	0	26.022722959518433	400	62.27844285964966	395	1.25	
53.85	8.245	61.41	36.365	22	2	0	118	11	135	79	18	7	19	12	12	0	221	0	29.172542095184326	600	91.45098495483398	588	2.0	
51.27	7.985	58.305	34.485	41	3	0	118	11	135	79	18	7	19	12	9	0	254	0	25.7866690158844	800	117.23765397071838	783	2.125	
47.675	7.8	53.34	31.65	68	4	0	92	11	102	61	22	7	24	15	5	0	286	0	22.956017017364502	1000	140.19367098808289	981	1.9000000000000057	
45.335	7.76	50.4	30.005	110	5	0	92	11	108	64	22	7	24	15	4	0	313	0	16.024493932724	1200	156.21816492080688	1175	2.083333333333343	
48.51	7.99	54.14	32.245	156	6	0	92	11	102	61	22	7	24	15	3	0	347	0	14.568857908248901	1400	170.7870228290558	1368	2.285714285714292	
49.835	8.04	55.45	33.015	151	7	0	83	11	102	61	21	7	24	15	3	0	377	0	17.864768028259277	1600	188.65179085731506	1563	2.3125	
53.575	8.285	59.965	35.69	200	8	0	82	10	101	58	21	7	24	15	2	0	399	0	10.718325853347778	1800	199.37011671066284	1757	2.3888888888888857	
55.375	8.345	62.33	37.025	200	9	0	86	10	106	63	21	7	24	15	2	0	427	0	14.621669292449951	2000	213.9917860031128	1953	2.3499999999999943	
55.195	8.325	62.07	36.86	200	10	0	107	11	140	82	21	7	24	15	2	0	445	0	14.220518827438354	2200	228.21230483055115	2146	2.4545454545454533	
